id,work_id,item_name,category,quantity,unit,unit_price,total_amount,matched_ref_id,match_confidence,variance_pct,risk_level
1,1,LED Street Light (100W),Movable Goods,10.0,Each,18500.0,185000.0,1,100.0,65.2,High
2,1,Cement (Grade 53),Civil Materials,1500.0,Bag (50kg),490.0,735000.0,2,100.0,28.9,High
3,1,Steel (TMT Bar),Civil Materials,12.0,Metric Ton,72000.0,864000.0,3,100.0,24.1,High
4,2,LED Street Light (100W),Movable Goods,20.0,Each,18500.0,370000.0,1,100.0,65.2,High
5,2,Cement (Grade 53),Civil Materials,2000.0,Bag (50kg),480.0,960000.0,2,100.0,26.3,High
6,3,LED Street Light (100W),Movable Goods,100.0,Each,18500.0,1850000.0,1,100.0,65.2,High
7,4,Solar Panel (300W),Movable Goods,50.0,Each,15200.0,760000.0,6,100.0,18.8,Moderate
8,4,LED Street Light (100W),Movable Goods,50.0,Each,14400.0,720000.0,1,100.0,28.6,Moderate
9,5,Cement (Grade 53),Civil Materials,5000.0,Bag (50kg),510.0,2550000.0,2,100.0,34.2,High
10,5,Steel (TMT Bar),Civil Materials,40.0,Metric Ton,76000.0,3040000.0,3,100.0,31.0,High
11,5,Computer (Desktop),Movable Goods,20.0,Each,54000.0,1080000.0,4,100.0,27.1,Moderate
12,6,Cement (Grade 53),Civil Materials,1000.0,Bag (50kg),385.0,385000.0,2,100.0,1.3,Normal
13,7,Steel (TMT Bar),Civil Materials,3.0,Metric Ton,55680.0,167040.0,3,100.0,-4.0,Normal
14,7,Computer (Desktop),Movable Goods,9.0,Each,41650.0,374850.0,4,100.0,-2.0,Normal
15,8,Water Pump (5 HP),Movable Goods,14.0,Each,24000.0,336000.0,5,100.0,0.0,Normal
16,8,Solar Panel (300W),Movable Goods,12.0,Each,12928.0,155136.0,6,100.0,1.0,Normal
17,9,RO Water Purifier Commercial,Movable Goods,2.0,Each,88400.0,176800.0,7,100.0,4.0,Normal
18,9,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
19,10,RO Water Purifier Commercial,Movable Goods,2.0,Each,131750.0,263500.0,7,100.0,55.0,High
20,10,High Mast Light (12.5m),Civil Materials,3.0,Each,268250.0,804750.0,8,100.0,45.0,High
21,11,Steel (TMT Bar),Civil Materials,4.0,Metric Ton,64960.0,259840.0,3,100.0,12.0,Moderate
22,11,Computer (Desktop),Movable Goods,12.0,Each,41650.0,499800.0,4,100.0,-2.0,Normal
23,12,Water Pump (5 HP),Movable Goods,14.0,Each,22080.0,309120.0,5,100.0,-8.0,Normal
24,12,Solar Panel (300W),Movable Goods,6.0,Each,12928.0,77568.0,6,100.0,1.0,Normal
25,13,RO Water Purifier Commercial,Movable Goods,3.0,Each,81600.0,244800.0,7,100.0,-4.0,Normal
26,13,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
